love
loves
loving
like
likes
care about
cares
respect
glorify
crazy about
crazy for
crazy over
in love with
pray
bless
glorify
praise
thank
honor
kiss
miss you
admire
agree
support
trust
believe
wish
enjoy
respect
value
thank
take care
care
