Your so fucking
i want to break ur neck
u r stupuedddd
you disgusting slut
A bitch will ALWAYS be a bitch
U bitch i
u bastard liar
u motherfucking bastard
don't be a BASTARD
u r such an insensitive jerk
ur such a son of a bitch
u lying motherfucker
u arshole son of a bitch
Stop being a loser
u are really a cheater
ur such a disappointment
your nationalty and courty and clathure ok go to hell
fuck you _not_ fuck you now tonight _not_ Feel like want to fuck you
go to hell
you are so stupid
u r a prostitiute
you are realy mother fuker
You are such an asshole
I hate you
U are the 1 who will go to hell
U are stupid
Shame for u
U are selfish
I hate u
u are just so selfish
u soo selfish
you are a fucking
U R a blithering IDIOT
Ur an asshole
u idiot
ur so big idiot
u dn't have to waste ur time on me
you are such a disgusting person
ur so disgusting
Ur the disgusting one
U are the most disgusting
I will kill you
I want to kill you
your attitude towards the job is not acceptable
i will be making a formal complaint at your attitude
i am not too happy with your attitude and performance
i am very hurt by your attitude
I am not happy with the way u treat me
everything is your fault
thanks to Your actions I will be on street in fuckin desert
your fucking
ur fucking
ur bullshit
Now wt iam thinking that the 700 i give to a bitch
ur a liar 
Ur a Lier
you have another girlfriend stop being a lier
Now ur lying
you like the damn bitch
make u an Adulterous Bitch
After 7 years fucking greedy bitch and you tell her 
u just called called me bitch
u better stop lying
Stay away from me
i am already losing my patience with u
