good
wanderful
exellent
not bad
great
interesting
lovely
best
healthly
fresh
open
animated
devoted
loving
sympathetic
encouraging
supportive
kind
clever
warm
hopeful
happy
amazed
free
wonderful
clean
strong
beautiful
excited
great
bold
gorgeous
attractive
better
agreeable
brave
calm
delightful
festive
gentle
jolly
proud
shy
optimistic
cheerful
upbeat
joyful
sweet
serene
respectful
appreciative
contented
jubilant
