Pong
Zork
Space Invaders
Asteroids
Adventure
Pac-Man
Defender
Donkey Kong
Galaga
Joust
Ms. Pac-Man
Pitfall!
Punch-Out!!
Star Wars
Elite
Tetris
Gauntlet
Super Mario Bros.
The Legend of Zelda
Out Run
Contra
Double Dragon
Tecmo Bowl
Mega Man 2
Ninja Gaiden
Super Mario Bros. 3
Prince of Persia
SimCity
The Secret of Monkey Island
Super Mario World
The Legend of Zelda: A Link to the Past
Lemmings
Monkey Island 2: LeChuck's Revenge
Sonic the Hedgehog
Street Fighter II
Super Castlevania IV
Mortal Kombat
Sonic the Hedgehog 2
Super Mario Kart
Wolfenstein 3D
Day of the Tentacle
Daytona USA
Doom
Gunstar Heroes
The Legend of Zelda: Link's Awakening
Mega Man X
Mortal Kombat II
Myst
NBA Jam
Phantasy Star IV
Sam & Max Hit the Road
Secret of Mana
SimCity 2000
Donkey Kong Country
EarthBound
Final Fantasy VI
Star Wars: TIE Fighter
Super Metroid
UFO: Enemy Unknown
Chrono Trigger
Command & Conquer
Warcraft II: Tides of Darkness
Wipeout
Yoshi's Island
Civilization II
Command & Conquer: Red Alert
Nights into Dreams...
Pokémon Red and Blue
Quake
Resident Evil
Super Mario 64
Super Mario RPG
Tomb Raider
Castlevania: Symphony of the Night
Fallout
Final Fantasy Tactics
Final Fantasy VII
GoldenEye 007
Gran Turismo
Quake II
Star Fox 64
Star Wars Jedi Knight: Dark Forces II
Tekken 3
Ultima Online
Grim Fandango
Half-Life
The Legend of Zelda: Ocarina of Time
Metal Gear Solid
Panzer Dragoon Saga
Resident Evil 2
SoulCalibur
StarCraft
Thief: The Dark Project
Age of Empires II: The Age of Kings
EverQuest
Homeworld
Planescape: Torment
Shenmue
Silent Hill
Super Smash Bros.
System Shock 2
Unreal Tournament
Baldur's Gate II: Shadows of Amn
Counter-Strike
Deus Ex
Diablo II
Jet Set Radio
The Legend of Zelda: Majora's Mask
The Sims
Thief II: The Metal Age
Tony Hawk's Pro Skater 2
Advance Wars
Final Fantasy X
Gran Turismo 3: A-Spec
Grand Theft Auto III
Halo: Combat Evolved
Ico
Ikaruga
Max Payne
Metal Gear Solid 2: Sons of Liberty
Phoenix Wright: Ace Attorney
Rez
Silent Hill 2
Super Smash Bros. Melee
Grand Theft Auto: Vice City
The Legend of Zelda: The Wind Waker
Metroid Prime
Prince of Persia: The Sands of Time
Star Wars: Knights of the Old Republic
Burnout 3: Takedown
