discuss 
meet
meets
meeting
meetings
met
talk
see
lunch with
dinner with
Meetin 
conversation 
breakfast with
breakfasts with
coffee with 
coffees with
hangout
visit 
conversation 
visits 
have a good time  
spoke 
speak
discussion
tea time
