hate
hates
hating
worry about
worrying
worries
mad about
doubt
afraid of
fear
fuck
fucked
fuk
loss
lost
angry at
disagree
laugh at
sorry for
sorry about
kill
killing
abuse
abused
curse
destroy
ruin
devastate
eat away
rip apart
obliterate
ravage
mutilate
shatter
break
