[dada] will passby
[ziad] will travel 
[ruud] is due to fly
[john] will leave
[muhammad] cancelled his trip
[xxx]'s trip
[xxx]'s flight
[xxx]'s travel
[xxx]'s fly
[xxx] on travel
[xxx] depart
[xxx]'s way
[xxx] arrive
[xxx] is coming
[xxx] will arrive
[xxx] arrived
[xxx] come
[xxx] travel
[xxx] take a trip
[xxx] take trip
[xxx] take trips
[xxx] tour
[xxx] fly
[xxx] go
[xxx] drive
[xxx] arrive
[xxx] depart
[xxx] take off
[xxx] land
[xxx] travels
[xxx] takes a trip
[xxx] takes trip
[xxx] takes trips
[xxx] tours
[xxx] flies
[xxx] goes
[xxx] drives
[xxx] arrives
[xxx] departs
[xxx] takes off
[xxx] lands
[xxx] is traveling
[xxx] is travelling
[xxx] is taking a trip
[xxx] is taking trips
[xxx] is touring
[xxx] is flying
[xxx] is going
[xxx] is driving
[xxx] is arriving
[xxx] is departing
[xxx] is taking off
[xxx] is landing
[xxx] was traveling
[xxx] was travelling
[xxx] was taking a trip
[xxx] was taking trips
[xxx] was touring
[xxx] was flying
[xxx] was going
[xxx] was driving
[xxx] was arriving
[xxx] was departing
[xxx] was taking off
[xxx] was landing
[xxx] are traveling
[xxx] are travelling
[xxx] are taking a trip
[xxx] are taking trips
[xxx] are touring
[xxx] are flying
[xxx] are going
[xxx] are driving
[xxx] are arriving
[xxx] are departing
[xxx] are taking off
[xxx] are landing
[xxx] were traveling
[xxx] were travelling
[xxx] were taking a trip
[xxx] were taking trips
[xxx] were touring
[xxx] were flying
[xxx] were going
[xxx] were driving
[xxx] were arriving
[xxx] were departing
[xxx] were taking off
[xxx] were landing
[xxx] traveled
[xxx] travelled
[xxx] took a trip
[xxx] took trips
[xxx] toured
[xxx] flew
[xxx] went
[xxx] drove
[xxx] arrived
[xxx] departed
[xxx] took off
[xxx] landed
[xxx] can travel
[xxx] can take a trip
[xxx] can take trip
[xxx] can take trips
[xxx] can tour
[xxx] can fly
[xxx] can go
[xxx] can drive
[xxx] can arrive
[xxx] can depart
[xxx] can take off
[xxx] can land
[xxx] can travels
[xxx] can takes a trip
[xxx] can takes trip
[xxx] can takes trips
[xxx] can tours
[xxx] can flies
[xxx] can goes
[xxx] can drives
[xxx] can arrives
[xxx] can departs
[xxx] can takes off
[xxx] can lands
[xxx] will travel
[xxx] will take a trip
[xxx] will take trip
[xxx] will take trips
[xxx] will tour
[xxx] will fly
[xxx] will go
[xxx] will drive
[xxx] will arrive
[xxx] will depart
[xxx] will take off
[xxx] will land
[xxx] will travels
[xxx] will takes a trip
[xxx] will takes trip
[xxx] will takes trips
[xxx] will tours
[xxx] will flies
[xxx] will goes
[xxx] will drives
[xxx] will arrives
[xxx] will departs
[xxx] will takes off
[xxx] will lands
[xxx] would travel
