I will pay you
I'll give you the money
I will give you the money 
I forgot to give you the money
remind me to give you the money
I can pay you
I need to pay your
_start_ Ok will pay you
We will send you money
I send it money to your account
I had the chance to deposit money to your card
I get the payment will return money to you
I send it money to your account
Hi Baby. Transferred the money to your account
i will deposit the money to your account
