_act_ [xxx]
_act_ to [xxx]
_act_ for [xxx]
_act_ about [xxx]
_act_ with [xxx]
_act_ at [xxx]
_act_ on [xxx]
_act_ in [xxx]
_act_ in to [xxx]
_act_ you [majid] _puntuation_
_act_ you very much [majid] _puntuation_
_act_ you so much [majid] _puntuation_
