Badakhshān
Bādghīs
Baghlān
Balkh
Bāmiyān
Bamyan
Dāykondi
Daykundi
Farāh
Fāryāb
Ghaznī
Ghowr
Helmand
Herāt
Jowzjān
Kābol
Kabul
Kandahār
Kāpīsā
Khowst
Khost
Konarhā
Kunar
Konduz
Kunduz
Laghmān
Lowgar
Logar
Nangarhār
Nīmrūz
Nūrestān
Nuristan
Orūzgān
Urozgan
Paktīkā
Paktiyā
Paktia
Panjshīr
Parwān
Samangān
Sar-e Pol
Takhār
Wardak
Maydān
Zābol
Zabul
Kābol
Herāt
Kandahār
Mazār-e Sharīf
Jalālābād
Konduz
Pol-e Khomrī
Meymaneh
heberghān
Tāloqān
Andkhwoy
Andkhoy
Aqchah
Aqcha
Asadābād
Aybak
Haibak
Baghlān
Balkh
Bāmiyān
Bamyan
Bāzārak
Chaghcharān
Chāh Āb
Chārīkār
Dawlatābād
Farāh
Feyzābād
Fayzabad
Gardīz
Gardez
Gereshk
Girishk
Ghaznī
Ghūriyān
Ghurian
Ḥazrat Emām Shāḥeb
Imam Sahib
Herāt
Jalālābād
Kābol
Kabul
Kandahār
Khānābād
Kholm
Khowst
Konduz
Koshk
Lashkar Gāh
Maḥmūd-e Rāqī
Maydān Shahr
Mazār-e Sharīf
Mehtarlām
Meymaneh
Nīlī
Paghmān
Pārwon
Pol-e 'Alam
Pol-e Khomrī
Qalāt
Qal'eh-ye Dhāl
Qal'eh-ye Now
Rostāq
Sang-e Chārak
Sar-e Pol
Sharan
Sheberghān
Shūlgara
Tāloqān
Tarīn Kowt
Yangī Qal'ah
Zaranj
