Automotive
Auto Dealership
Automotive Repair
Car Washe
Service
Gas Station
Auditorium
Club
Community Center
Convention Center
Librarie
Museum
Boarding School
School
Cafeteria
Classroom
College
Universities
University
Community College
Day Care Center
Dormitorie
Elementary School
Fraternity
Sorority House
Gymnasium
High School
Junior High School
Pre School
School Auditorium
School Laboratorie
Special School
Vocational Training Center
Data Center
Electrical Work
Power Line
Power Station
Substation
Entertainment
Aquarium
Broadcast Studio
Casino
Concert Hall
Entertainment Complex
Movie Theater
Playhouse
Television Production Studio
Studio
Zoo
Government
Courthouse
Fire Station
Governmental Office
Office
Park Building
Police Station
Post Office
Prison
Hotels
Motel
Hotel
Motel
Industrial
Hatcherie
Industrial Laboratorie
Laboratorie
Manufacturing Facilitie
Oil Refinerie
Medical
Clinic
Hospital
Mausoleum
Medical Office
Nursing Home
Outpatient Surgery Center
Rehabilitation Center
Military
Dormitorie
Military Housing
Military Office
Miscellaneous Military
School
Office
Rental Warehouse
Warehouse
Religiou
Chapel
Church
Religious Auditorium
Religious Classroom
Residential
Apartment
Condominium
Single Family Home
Single Family Tract Home
Townhome
Restaurant
Bar
Tavern
Fast Food Restaurant
Sit Down Restaurant
Retail
Auto Parts Store
Bank Branche
Coffeehouse
Convenience Store
Crematorium
Dry Cleaner
Fitness Center
Florists and Nurserie
Funeral Home
Individual Store
Laundromat
Mixed Use
Optician
Pet Store
Pharmacie
Shopping Center
Supermarket
Sport
Arena
Athletic Court
Bowling Alley
Recreation Center
Skating Rink
Swimming Pool
Transportation
Air Traffic Control Tower
Aircraft Hangar
Airport Terminal
Bus Station
Parking Garage
Rail Station
Transportation Terminal
Veterinary
Kennel
Veterinary Clinic
Veterinary Hospital
Airport Runway
airport
Canal
Cemeterie
Dam
Demolition
Flood Control
Marine
Pavement Marker
Railroad
Reservoir
Retention Dam
Road
Subway
Tank
Tunnel
Site Work & Landscaping
Athletic Field
Excavating & Grading
Fencing
Golf Course
Parks & Landscaping
Sitework
Water & Sewer
Municipal Water and Wastewater Facilitie
Sidewalks, Curbs & Gutter
Water and Sewage Piping
