Sheik
Shykh
Shayk
Shaykh
Cheikh
Shekh
Shaikh
Sheikh
duke
His Royal Highness
Royal Highness
Crown Prince
HH
His highness
emir
amir
ameer
sh.
sh
Prince
king
HH Emir Sheikh
H.E.
Crown Prince
His excellency
H.E
H.E.
His Highness
H.H.
Emperor
king
hh
sheik
sheikh
King
