handsome
sexy
my love
my sweet
sweetheart
HONEY
DARLING
SWEETIE
BABY
SWEETHEART
SWEETIE PIE
SUGAR
LOVER
BEAU
HONEY BUNCH
DOLL
GIRL FRIEND
DEARIE
HONEY BUN
LOVE
ANGEL
BOY FRIEND
SUGAR PIE
SWEET PATOOTIE
SUGAR PLUM
BABE
LOVIE
LOVIE-DOVE
MY GIRL
BABY DOLL
HONEY PIE
DOLL BABY
SUGAR LUMP
CUTIE-PIE
LOVER-BOY
STEADY
BEST GIRL
DEAREST
SWEET
DOLLY
MY LOVE
PAL
CUTIE
GAL
HONEY POT
LOVED ONE
MY GAL
MY STEADY
PRECIOUS
SUG
TOOTSIE-WOOTSIE
BEAUTIFUL
BEST GAL
DARLIN'
DOVEY
HIS GIRL
LAMBIE PIE
ONE AND ONLY
SUGAR BABE
SWEETS
TOOTS
BEST BEAU
BETTER HALF
GIRLIE
HEART THROB
HONEY BEAR
HONEY BEE
HONEY CHILD
LADY LOVE
LOVIE-DOVIE
MY GIRLFRIEND
MY HONEY
MY LOVER
MY WOMAN
PEACHIE
PUDDIN'
PUDDING
SNOOKS
SUGAR BABY
SUGAR DOLL
SUGAR FOOT
SUGAR PUSS
SWEET PEA
SWEET PETUNIA
SWEET THING
TOOTSIE
WIFIE
ANGEL BABY
ANGEL CHILD
BABY DARLING
BE-EYEDY SWEET
BOOKIE-SUG
BOOPSIE
BOYFRIEND
BRITCHES
BUCK
BUG
BUNCH
BUNNY DUCK
BUNNY RABBIT
BURDOCKS
BUTTERBALLS
BUTTERCUP
CHER
CHERIE
CHICKADEE
CHICKEN
CHICKERINI
CHICKIE
CHUM
CLUCK
COOKIE
COURTER
CREEPO
CUDDLES
CUTIE BOOTS
CUTIE PIE
DAMN FOOL
DEAR HEART
DEAR SWEET CUTTER
DIMPLES
DOB O GOODIE
DOLLING
DUCKY
EAGER BEAVER
ENDEARING NAMES
FIANCEE
FRAU
GOOD-LOOKING
HEART BEAT
HER PROPERTY
HE'S HER BEAU
HE'S HER CRUSH
HIS DISH
HIS WOMAN
HONEY BOY
HONEY BUCKET
HONEY BUG
HONEY BUNNY
HONEY PILE
HONEYDEW
HONEYSUCKLE
HOOIPOIPO
HOTCAKE
LADY
LADY FRIEND
LAMB PIE
LIEBCHEN
LITTLE BUTTERCUP
LITTLE DEVIL
LITTLE DOLL
LITTLE HONEYSUCKLE VINE
LOVE BIRD
LOVELY
LOVER-DOLL
LOVER-DOVER
LOVIE BUMPKINS
MAIN SQUEEZE
MI DULCE CORAZON
MY BABY
MY BEAU
MY BEST GIRL
MY BOY FRIEND
MY BROAD
MY CANDY-STICK
MY DAME
MY DEAR AND MY DARLING
MY DERN-MOST BEDAMNABLE
MY DOLL
MY GUY
MY LITTLE ROLY-POLY
MY MAIN MAN
MY MAN
MY NIGGER
MY OLD PAL
MY ONE AND ONLY
MY SUGAR
MY SWEETHEART
NUMBER ONE
OLD LADY
OLD MAN
OLD WOMAN
PATOOTIE
PEACHES
PETUNIA
POOPSIE
POP
PUMPKIN
PUNKINS
PUSSY-CAT
PUTTY-CAT
QUEEN OF MY HEART
S.Y.T.
SCHNIKELFRITZ
SHE'S HIS GIRL
SHOBBIE
SHUG
SMOOCHING PARTNER
SNOOKUMS
SNOOKY
SQUAW
STEADY BEAU
SUGAR CAKE
SUGAR LEAF
SUGAR POT
SUGAR PUDDIN'
SUGAR PUFF
SUITOR
SWEET LITTLE KID
SWEET NOTHING
SWEET PATOOT
SWEET POTATO
SWEET YOUNG THING
SWEETIE CAKES
SWEETIE FACE
SWEETIE PEACH
SWEETIE PIE SPECIAL
SWEETIE PUSS
SWEETNESS
SWEETUMS
